Questions	Answers
 Ok, I will wait.	 There is a flight with ticket fare 100 in Hawaiian airlines with a stopover. Is it ok for you?
 Please proceed with this ticket booking.	 Your booking is confirmed with flight number 1011.
 Thank you for your help.	 Thank you for contacting us, have a nice day.
 Hello, Jennifer Lee here.	 Hello, how can I assist you?
 I am planning to visit Atlanta city, can you please book me a ticket with 1 connection limit flight?	 Sure, may I know your airport codes please?
 My nearest airport codes of travelling are from SFO to ATL.	 Can you please share your journey dates?
 My preferable journey dates are from 07/10 to 07/12.	 There are no flights available with your given details, Lee.
 Ok, not an issue. I will find any alternate for this trip.  Thank you for providing information.	 Thank you for choosing us.
 Hi	 Hello, how can I aid you?
 I want to book a ticket from DTW to SFO, can you help me?	 Sure, can you share your trip dates?
 My travel dates are May 02 and 04.	 Do you have any preferences?
 I prefer a connecting flight.	 May I know your name?
 I am Frank Collins.	 There is a connecting flight with number 1000 in airline UA, the fare is 100 in economy class.  Can I book it?
 You can book it.	 Your ticket is reserved.
 Thank you for booking.	 Thank you for opting us.
 Hello	 Hello, How can I help you?
 I want to book a flight from SFO to JFK. Can you please make a reservation for me?	 Sure, may I know the travelling dates?
 I want to depart on Aug 22 and need to return on Aug 24.	 Do you have any connection limit?
 I am looking for a flight with single connection.	 Is there any other requirements?
 My depart time must be in the morning.	 May I know your name?
 Emma Smith here.	 Please wait a moment.
 Sure.	 Sorry, No flights found with your chosen dates.
 Ok, not an issue.  Thank you for the information.	 Thank you for availing us.
 Hi	 Hello  How can I assist you at this moment?
 Can you please render me in booking a flight ticket to DEN from HOU?	 Sure, I am happy to help you with that. Can I have your travel  dates please?
 Thank you, my preferred travel dates are from Jan 11 to Jan 13.	 Ok, please let me know your  preferable timings of your journey.
 I am comfortable with any timings.	 Do you  prefer any specific class to travel?
 No	 Do you have any other specifications?
 I need a connecting flight.	 Can I have your good name please?
 I am Carol Martin.	 JetBlue airlines running a flight in your route with connection 1 and the ticket  fare is 200. Shall I proceed with booking?
 You can proceed with booking.	 Ok, your  ticket booking has done and the flight number is 1012.
 Thank you for your help.	 Thank you for choosing us, have a great  journey.
 Hello	 Hello, how may I aid you?
 I would like to book a ticket from ORD to SFO, can you please help me out?	 Sure, could you please provide your travelling dates to search for the flight?
 I am travelling on these dates July 15th and 17th.	 Sure, can I know your connection limit?
 I need single connected flight.	 Sure, can I know your name? 
 Dennis Gonzalez here.	 Do you have any other requirements to be met? 
 I prefer return time in the afternoon.	 There is a economy class flight 1015 of American Airlines, can I proceed?
 Ok, you can proceed.	 Your booking is done, have a safe journey. 
 Thank you for your services.	 Welcome. 
 Hello	 Hello, how may I address you today? 
 I am Gary Lopez. I need a flight from Las Vegas to attend a meeting, can you help to book a flight from NV-LAS?	 Sure, please share your travel dates? 
 I will travel on 02/04 and return on 02/06.	 Kindly mention your destination? 
 My landing point is AZ-PHX.	 Ok, do you have any other specifications? 
 I need a connecting flight.  My budget is 500 for flight ticket.	 Thanks for your information, we found a connecting flight with fare of 100 in UA airline.   Shall I proceed for booking? 
 Please proceed with booking.	 Let me know your good name for booking? 
 Gary Lopez.	 Your ticket has been booked. 
 Thank you for helping me.	 Thanks for opting us. 
 Hello	 Hello, how can I guide you for today?
 Can you please book my flight ticket from JFK to IAH?	 Can you please share on what dates you are willing to travel?
 My travelling dates are Oct 26 and Oct 28.	 Do you have any airline preferences?
 I am comfortable in any airline. 	 Are you looking for a connecting flight or direct flight?
 I need single connection flight.	 Do you have any other requirements that you are looking for?
 I need business class ticket and search for my return ticket at evening time.	 Can you please provide your name to proceed further?
 Myself Brenda Green.	 There is a flight with ticket fare 600 in AA airlines with a stopover in business class. Is it ok for you?
 Please proceed with booking.	 Your booking is confirmed with flight number 1015. Departure time is 6
 Thank you for your help.	 Thank you for contacting us, have a nice day.
 Hello	 Hello, how may I help you?
 I want to book the flight ticket from BOS to DCA. Can you please help me?	 Sure, let me know your travel dates please?
 My travel dates are May 10 and May 12.	 May I know your connection limit?
 I am willing to travel in a single connecting flight.	 Do you need any other preference?
 No.	 Can I know your name please?
 Sandra Taylor.	 American Airlines is providing connecting flight with the ticket fare of 100. Shall I proceed?
 Please proceed.	 Your ticket has been confirmed by flight number 1012 and an economy class.
 Thank you for the help.	 Thank you for choosing us.
 Hello	 Hello
 Patrick King here.	 How can I help you today?
 I want to travel from IAD to LAS for attending a Seminar. Can you please help me for booking the flight ticket?	 Sure, I will help you. Please mention your travel dates.
 My travelling dates are from 11/11 to 11/13.	 Please, stay online I will check the flights and revert you.
 Make sure my connections limit is 1.	 We find a flight ticket in UA airline and 1001 as flight number with 1 connection.
 Please proceed for booking the flight ticket.	 King, your ticket is reserved with price 100.
 Thanks for helping me.	 Thank you for reaching us.
 Hello	 Hello
 My name is Catherine Collins.	 Collins, how may I render you today?
 I am looking to book a flight ticket to meet my friend in Austin, can you help me for booking a flight ticket?	 Sure, I am here to help you. May I know your travel dates please?
 My travelling dates are 08/05 and 08/07.	 Ok, may I know your airport codes please?
 My travelling airport codes are from LAS to AUS.	 I found a flight for you with JetBlue airline and it costs you 100.  Shall I proceed?
 Ok, please proceed for booking.	 Your ticket has been booked with 1005 flight number.
 Thank you for booking.	 Welcome, thank you for choosing us. Have a safe flight.
 Welcome.  Hi.	 Hello, How can I best serve you today?
 Could you please help me to book a flight ticket from SFO to OAK?	 Sure, can you please mention your depart and arrival dates of your journey?
 My trip dates are Aug 17 and Aug 19.	 Do you like to go with a connecting or direct flight?
 I need a single connecting flight.	 Can I know your good name to proceed further?
 I am Timothy Hill.	  There is a flight in Frontier airlines with the ticket price of 100 having one connection and economy class. Can I proceed to booking?
 Ok, proceed.	 Your booking is confirmed and the flight number is 1024.
 Thank you for the help.	 Thank you for choosing us.
 Hello	 Hello  How may I aid you?
 Kenneth Garcia here.  I want to travel from New York to Denver for attending a seminar. Can you please help me for booking the flight ticket?	 Sure, may I know your travel dates please?
 My travelling dates are from 03/20 and return date is 03/22.	 Can you share your airport codes please?
 My airport codes are from JFK to DEN.	 Thanks for your patience. I have found Frontier airlines which flies with one connection.  Sure, your flight ticket has been confirmed now with flight number 1029.
 If the price limit is 1000, then proceed for booking the flight ticket.	 Sure  Your flight ticket has been confirmed now.
 Thanks for helping me.	 Thank you.
 Hello	 Hello
 I am Charles Young.  Could you please book a flight ticket from NV-LAS to NY-JFK?	 Sure, can you please tell me your travel dates?
 My travelling dates are 08/06 and 08/08.  I need only 1 connection limit and price limit should be with in 1000.	 Sorry, there is no flight available as per your details.
 Thank you for your help.	 Welcome.
 Hello.	 Hello, how may I help you?
 Can you please help me to book a flight ticket from SFO to HOU?	 Sure, please share your journey dates?
  My journey dates are Aug 22 to Aug 24.	 Do you have any specifications?
 I need a single connection of flight.	 Is there any class preferences?
 No.	 May I know your good name?
 Patricia Wright here.	 We found a flight in Southwest airlines, flight number is 1016 with single connection and price is 100 economy class.  Shall I proceed?
 Ok, please proceed.	 Your ticket has been booked.
 Thank you.	 Thank you for choosing us.
 Hello	 Hello, how can I help your?
 I am looking for a flight from OAK to IAD, can you help me out?	 Ok, may I know your trip dates to book a flight?
 My trip dates are from 07/21 and 07/23.	 There is a flight available with airfare 300 and the connection limit is 1. Can I book it?
 Please proceed with on Angela Thompson.	 Ok Angela, the ticket is booked and the flight number is 1005.
 Thank you for your help.	 Thank you for choosing our agency.
 Hello	 Hello, How best can I respond to you?
 I am Dorothy Taylor, In New York there is a wax museum Madame Tussauds. I planned to visit the museum with friends.  Can you book a connecting flight for me?	 Sure, we are happy to help you.  Can you please share your journey dates that you prefer to travel?
 I prefer to travel on 10/20 and return on 10/22.	 May I know your journey locations?
 My source point is TX-HOU and destination is NY-EWR.	 Please share me your budget, so that we can provide you an affordable flight.
 My budget is 500 for flight ticket.	 Thanks for sharing your details.  We are unable to provide flight in between your journey routes due to heavy snowfall at destination airport.
 Ok, thank you for the information.	 Thank you for reaching us.
 Hello	 Hello
 I am Linda Smith.	 How can I aid you?
 I want to book a ticket from MSP to BOS to meet my uncle, can you help me in booking?	 Sure, help me with your trip dates.
 I am departing on 08/25 and return on 08/27.	 There is a connecting flight with fare 100 in airline Hawaiian, the number is 1029.
 Please proceed for booking.	 Your ticket is reserved, happy journey.
 Thank you for your help.	 Thank you for opting us.
 Hi  I'm Gary Lopez.	 Hello, how can I assist you today?
 I want to attend a conference at Seattle. Can you please book a ticket with a price limit of 200?	 Sure, Can you provide me trip dates please?
 I would like to depart on 02/15 and return on 02/17.	 May I know your connection limit?
 I need one connection.	 Let me know your journey points?
 My origin is Charlotte, NC - CLT and destination is WA - SEA.	 Ok, wait for some time.
 Sure	 Thanks for waiting, We are happy to inform you there is Frontier airline with single connection and number 1004.  Shall I proceed for booking?
 Yes	 Your ticket has been confirmed.
 Thanks for your service.	 Thanks for connecting us, have a safe journey.
 Hello 	 Hello  How may I help you?
 I am Raymond Thompson. 	 Nice to meet you Raymond.
 Could you help me with booking ticket from ORD to ATL? 	 Sure, tell me your travel dates please?
 Ok, my travelling dates are from May 04 to 06. 	 Please wait.
 Yes, I want to departure in the afternoon time with single connection.  	 Ok  Thanks for your patience. I have found Jet blue airlines which flies with one connection and the fare is only 200.
 Please proceed with booking. 	 Yes, I have confirmed your flight ticket with flight number 1014.
 Thanks for your help. 	 Thank you.
 Hello, I am Sharon Anderson.	 Hello, how may I assist you?
 I am planning to attend a cultural fest in New York, can you help me in booking my flight ticket? 	 Sure
 My airport codes are from NY-EWR on 09/16 to NY-LGA on 09/18.	 Please wait for a moment, while I check the details and let you know.
 Sure	 I found a flight, with price 100 and one connection.
 Ok, proceed for booking.	 It is AA airlines 1020 flight number.  Sure   Your flight ticket has been confirmed.
 Thank you for your service.	 Thanks, have a safe journey
 Hi	 Hello, how can I aid you today?
 I am Deborah Carter.  I want to book a ticket from IAD to SFO, can you help me?	 Sure, we are here to help you.  Can you share me your travelling dates?
 My travel dates are 08/01 and 08/03.	 Do you need any halt in between your journey?
 I need a connecting flight.	 Ok, wait for some time I will check and get back to you.
 I want to travel in business class.	 We found Hawaiian airline with connecting flight and number 1004 fare of 100.  Shall I proceed for booking?
 You can book it.	 Your ticket has been confirmed.
 Thank you for booking.	 Thanks for approaching us.
 Hello	 Hello  How may I assist you today?
 Can you please help me to search a flight which is having a single connection limit from DTW  to LAX?	 Sure, may I know your travel dates?
 Thank you. My travel dates are Jan 20 and Jan 22.	 Do you have any specifications? 
 I am looking for a flight which is departing in the afternoon time.	 Please share me your name.
 I am Joseph White. 	 Sorry, there is no flight at this moment.
 It's ok, not a problem with that. Thank you for searching the flights. 	 Thank you.
 You are most welcome.   Hello	 Hello, how may I aid you?
 I am Daniel Jackson, can you please book a flight ticket from CO - DEN to NY - LGA?	 Sure, I am here to help you out. Please share me your trip dates.
 Ok, my travel dates are 11/24 and 11/26.	 Here is a flight with 1 stop and price is 100 in UA airlines, can I proceed with it?
 Ok, please book it.	 Your ticket has been booked with 1001 flight.
 Thank you for booking the flight ticket.	 Thank you for reaching us.
 Hi	 Hello, how may I aid you today from my end?
 I am Rachel Hill and I need a flight ticket reservation, can you make flight ticket booking?	 Sure, I am glad to help you out. Please provide me your trip dates.
 Thank you for your positive response and my planned trip dates are June 24th and I will arrival back on June 26th.	 May I know your airport codes?
 Sure, I would like to start my journey from CLT and I need to land on MSP region.	 Do you prefer any connection?
 Yes, I need one drop off in my trip.	 Please allow me a moment.
 Sure.	 Sorry Rachel Hill, there is no connecting flight in your route.
 So sad to hear that one from your end but it's fine. Thank you for your immediate response and help.	 Thank you for reaching us.
 Hello	 Hello  How can I help you today?
 I am Deborah Perez, want to travel from PHX to HOU. Please help me.	 Sure, I will help you to book a flight. Can you please share me your travelling dates?
 Yes, sure. My travelling dates are from 05/05 to 05/07.	 Please give me a moment.
 Ok.	 Sorry, no flights are available on your route.
 That's ok, thank you.	 Welcome, have a nice day.  Thank you for opting us.
 Hello  Amanda Brown here.	 Hello, How can I help you?
 I need attend a party at Atlanta, can you please help me in booking a flight ticket from DCA to ATL?	 Sure, May I know the travel dates?
 Sure, my travel dates are from Sept 17 to Sept 19.	 Please wait a minute.
 Sure, I will wait for your response.	 Sorry, No flights found with your chosen dates.
 Ok, no problem. Thank you for the information.	 Thank you for availing us.
 Hello  I am Justin Thomas.	 Hello  Thomas, how can I help you?
 I want to attend an event in Houston. Can you help me to reach from LAS to HOU?	 Please mention your travel dates to proceed further.
 I want to fly on 05/24 and 05/26.	 Please hold on for a moment.
 Sure, take your own time.	 I found a flight with price 500 for you, can I book?
 Proceed to booking.	 Your ticket is booked in 1024 flight with Spirit airlines.
 Thank you for helping me.	 Welcome, have a safe journey.
 Hello	 Hello  How may I aid you today?
 Please book me a flight ticket from EWR to PHL to meet my family.	 Sure, can you please mention your preferable journey dates?
 I have planned to travel on Dec 31st and return on Jan 02nd.	 May I know your name please?
 Myself Anthony Anderson.	 Do you have any connection limit?
 I prefer connecting flight.	 Is there any specifications?
 No	 I found a ticket for you with price of 100, flight number is 1002 in economy class and connection is 1. Is it ok for you?
 Ok, please book this ticket.	 I confirmed your ticket successfully.
 Thank you.	 Thank you for reaching us.
 Hi, I am Michael Hall.	 Hello, how may I assist you today? 
 I heard that Las Vegas LAS is a beautiful city to visit, so can you please make a reservation from EWR?	 Sure, may I know your travelling dates please? 
 Sure, I need to fly on 11/26 and 11/28.	 Do you have any other specifications? 
 Yes, I need a halt.	 Ok, please wait for a moment. 
 Sure	 Thanks for waiting, we found a connecting flight with fare of 300 in Southwest airline.   Shall I proceed for booking? 
 Please proceed.	 Your ticket has been reserved with in 1005 flight number. 
 Thank you for your assistance.	 Thanks for opting us, have a safe journey. 
 Hello	 Hello  How can I assist you?
 I am Brandon Turner.  I am planning to visit my cousin's home from ORD to DFW.  Can you help me out?	 Sure Brandon, I am here to help you.
 My departure and return dates are 03/22 to 03/24.	 May I know the travel dates please?  Ok, wait a moment.
 Sure.	 There is a flight for you with flight number 1012 and airline is AA.  Shall I proceed in booking?
 May I know the price and connection?	 The price is 100 with connection 1.
 Yes, you can proceed.	 I have booked your ticket.  Thank you for approaching us.
 Thank you.  Hello	 Hello
 I am Larry Adams.	 What service that you are looking from our agency Larry?
 I have to attend a musical event which is conducting in Dallas & Fort Worth. Can you please help me to book a flight ticket from DCA to DFW?	 Sure, I am oblige to help you with that. Can you please provide your preferable departure and return dates of travelling?
 Thank you. My departure and arrival dates are 04/17 and 04/19.	 Please wait a moment to check the flights availability in your route and I will get back with a best flight for you.
 Sure, I will wait for your response and please make sure that the connection limit is 1.	 We regret to inform you that, there are no flights moving to your region with your required number of connections.
 It's ok, anyways thank you for searching the flight.	 Thank you for opting us, hope you have a great day.
 Hello 	 Hello, how may I assist you now?
 I got an information that during summer vacation Washington is best place to enjoy.   Can you please book me a flight ticket from Seattle? 	 Sure, may I know your journey dates?
 04/25 and 04/27 are my travelling dates. 	 Is there any price limit for you?
 Yes, price limit must be 500. 	 Please provide me your airport codes?
 Sure, it is from WA - SEA to DC - DCA. 	 Ok, please wait a moment.
 Sure	 Sorry to inform you that there is no flight found o your details.
 Ok, no issues. 	 May I know your good name please?
 Timothy Johnson is my name. 	 Thanks for opting us, have a great day.
 Thanks for your information.   Hello	 Hello  How may I assist you?
 I am planning to attend by cousin's marriage in DCA, could you please help me in booking a flight ticket?	 Can I know your name?
 I am Scott Clark.	 Can you tell me your source code?
 My source code ATL.	 What will be your trip dates?
 My trip dates are 03/26 and 03/28.	 Wait for a moment.
 Sure.	 Flight-1020 by Spirit airlines is available on your provided dates.  Can I book it?
 May I know the connection and price limit?	 The connection limit is 1 and price is 100.
 Ok fine, you can proceed.	 Your tickets are booked.
 Thanks for helping me.	 Thanks for choosing us.
 Hi   I am Anthony Lee. 	 Hello, how may I help you?
 Please help me to book a flight ticket, As I want to visit and interact in the National Gallery of Art, with my clients at New York.	 Sure, we are here to help you.  Kindly, mention your journey dates.
 05/22 and 05/24 are my travelling dates. 	 Do you need any connection in your journey?
 Yes, I need a connecting flight. 	 Kindly, mention your source airport code.
 PHX is my source airport code. 	 Please, mention your destination airport code.
 JFK is my destination. 	 Give a minute, I will check the list and let you know the flight details.
 Ok 	 Thank you for your precious time.  No flights found on your journey dates.
 Ok, no issues.   Thanks for your information. 	 Thank you for reaching us, have a nice day.
 Hello	 Hello  How can I assist you today?
 I am Brian Robinson.  I am planning to visit Museum of Nature and Science at Denver, could you please help me with booking a flight ticket from SEA to DEN?	 Sure, I will help you out. May I know your travel dates please?
 I would like to take off on 01/02 and return on 01/04.	 Ok, please wait for a while.
 Sure, take your time.	 Thank you for your patience, here there is a flight available with single connection and ticket fare is about 100. Shall I proceed further in booking?
 Please confirm the booking.	 Your ticket has been confirmed for flight 1006 with Spirit airlines. Have a safe journey.
 Thank you for your service.	 You are welcome, thank you for reaching us.
 Hello	 Hello
 Myself Gregory Roberts.	 How may I assist you?
 Will you help me in booking the flight ticket from ATL to MSP?	 Sure, let me know your journey dates?
 My travelling dates are Oct 27 and Oct 28.  I need a flight with single connection.	 Do you need any specifications?
 No	 Could you mention the return date once again?
 My return journey date is Oct 29.	 Please hold on a moment.
 Ok, I will wait for your response.	 Sorry to inform that, there are no flights found on your routes.
 Ok, not an issue.  Than you for your information.	 Thanks for reaching us, have a nice day.
 Hello	 Hello.  May I know your good name, Please?
 Can you find a flight with single connection limit?  Myself Joseph Green.	 Yes, We can try to find one for sure.
 Ok.	 May I know your airport codes, Please?
 My location codes are from DEN to BOS.	 May I know your travel dates, Please?
 My journey starts on 12/06 till 12/08.	 Please, Share your price limit.
 Price limit should be 200.	 We are very sorry to inform you that, We do not have flights available matching your price limit.
 That's ok, I prefer any other way to reach my destination in my price limit.	 Thank you, For making an inquiry with us regarding ticket booking.
 Welcome.	 Have a great day.
 Thank you for your information.  Hello, I am Edward Baker here.	 Hello, How may I aid you?
 As I am a plant lover I would like to visit Minneapolis Sculpture Garden , MN-MSP with my family.   Can you please help me in booking a ticket from Detroit, MI-DTW?	 Sure, we are here to help you.  May I know your travelling dates?
 My travelling dates are from 12/10 to 12/12.  And my price limit is 500.	 Ok, please wait for a moment.
 Ok	 Thank you for your patience, we found a JetBlue plane with flight number 1008.  The price is 200.
 Fine, You can proceed for booking.	 Sure, your ticket has been reserved.
 Thanks for your time.	 Thank you for approaching us.
 Hello,	 Hello   How may I assist you? 
 I am Kenneth Jones , I want to book a flight ticket to visit St. Mary's Basilica.  Please help me out.	 Sure, may I know your locations? 
 My journey codes are from LAX to PHX.	 Ok, please provide your journey dates too. 
 My travelling dates are from 10/28 to 10/30.  I need a direct flight.	 Sorry, there is no direct flight for you. 
 Ok, no issues.  Thank you.	 Ok, thanks for contacting us. 
 Hello	 Hello  My I know how best I can help you today?
 As I am a doctor, I want to attend an emergency case at Houston, HOU.  Can you please book a ticket from DCA?	 Sure, we are happy to assist you in booking.  What dates would you like me to book this plane ticket for you?
 My travelling dates are Jan 21 and Jan 23.	 Do you need a lay by in between your journey?
 Yes, I want single connection.	 Would you like to avail any benefits for the comfort of your journey?
 I prefer business class.	 May I know your name please?
 I am Ruth Williams.	 Ok, please wait a moment I'll search best flight for you.
 Ok	 Thank you for waiting, we are unable to provide flight in between your journey routes due to some technical up-gradation at destination airport.
 Ok, no issues.  Thank you.	 Thank you for approaching us.
 Hello	 Hello, how may I assist you?
 Ryan Young here.  I want to book a flight from SEA to BOS.	 Sure, may I know your travelling dates?
 My travelling dates are from 09/04 to 09/06.	 Yes, I found a flight-1012 with AA airlines, can I proceed?
 Please proceed.	 Yes Ryan, your ticket is confirmed.
 Thank you for your support.	 Thank you for contacting us, have a safe journey.
 Welcome.  Hello	 Hello
 I am James Roberts.	 How can I aid you today?
 I am planning for a  round trip from LAS to LAS, can you please help me with booking a flight ticket?	 Sure, I'm happy to help you with that. Can you please provide your planned departure and return travel dates?
 Sure, I would like to take off on June 29 and return on July 1.	 Ok, do you have any other specifications?
 Yes, please make sure that the price limit does not exceed 200.	 Ok, please wait for a while.
 Sure.	 Hawaiian airlines is having a flight on that route with ticket fare of 100, shall I proceed for booking?
 Yes, please proceed with the booking.	 I have successfully booked you a ticket in an economy class and your flight number is 1008, have a safe journey.
 Thank you for your help.	 Thank you for choosing us.
 You are welcome.  Hello	 Hello, how may I serve you?
 I need to travel LAS and MCO, can you please reserve flight ticket?	 Sure, I will help you. Please send your travelling dates.
 My travelling dates are July,14 and July,16.	 Do you have any preferences?
 I need direct flight with normal-cost airlines preferred. 	 May I know your name please?
 Myself Justin Thomas.	 Sorry, there is no flight available with your journey dates.
 Oh! Sad to hear that. Anyway, I will find another alternative to complete my journey.	 You are welcome, have a nice day.
 Thank you for the information.  Hi, I am Amanda Rodriguez.	 Hello, how can I help you?
 I want to attend the funeral of my grandfather, can you please help me in booking a ticket?	 Sure, can you please provide your journey details?
 My destination is at NC - CLT and origin is at CA - LAX.  My travelling dates are 03/02 and 03/04, with the price of 1000.	 We found a flight with Delta airlines, flight number is 1022 and price is 100 with one connection.
 Ok, proceed with the booking.	 Ok, your ticket has been booked.  Have a safe journey.
 Thanks for your excellent service.	 Thanks for choosing us.
 Hello  I am Edward Young.	 Hello, how can I help you today?
 I am planning to go for woodinville wine tasting tour at Seattle, SEA. Can you please book a ticket for me?	 Sure, may I know your planned travel dates?
 Travelling dates are 05/03 to 05/05.	 Please share me your source point.
 Origin code is Las Angeles, LAX.	 Sorry to say that, no flights were found with your given details.
 No problem.	 Thank you for reaching us.
 Thank you.  Hi	 Hello, how can I assist you?
 My name is Carolyn Thompson, can you book a ticket from MCO to LGA?	 Sure, can I know the travel dates please?
 Sure, my travel dates are 06/05 and 06/07.	 Ok, wait a moment please.
 Sure, take your time.	 There is a flight in AA airline with price 100, can I book it?
 Please confirm my ticket.	 Your ticket has been booked with flight number 1000.
 Thank you so much for your help.	 You are welcome.
 Hi	 Hello
 I am Carol Phillips.	 How may I help you today?
 I have to reach New York with my assistant to give a presentation of my story to a publisher.  Will you please help me in booking a plane reservation?	 Sure, please let me know your planned travelling dates.
 My depart will be on 11/17 and arrive on 11/19.	 Could you please let me know your exact airport codes?
 I would like to start my journey from Atlanta GA-ATL and reach at New York NY-EWR.	 Is there any connection limit?
 Yes, I need a connection.	 Please wait a moment.
 Ok	 We found a Hawaiian airline matching your essential details with single connection and the fare 100.
 Please continue with booking.	 Your reservation is confirmed.
 Thank you for your response.	 Thank for availing us.
 Hello	 Hello, how can I assist you?
 I am Jacob Thomas. I want to book a flight ticket from NY - JFK to PA - PHL to attend my nephew's birthday.	 Ok, can you please provide your journey dates?
 Sure, my departure is 04/20 and my return on 04/22.  I need a single connection.	 We found a flight with single connection and price is 200 of 1008 flight with Jet Blue airlines.  Shall I proceed for booking?
 Ok, proceed to booking.	 Your ticket has been confirmed.
 Thank you, for your quick response.	 Thank you, have a safe journey.
 Hello	 Hello, how can I help you today? 
 I want to a book a flight from HOU to IAH. Can you book a flight for me?	 Sure, On which dates would you like me to book a flight ticket for you?
 I will fly on July 15 and return on July 17.	 On what name, do I need to reserve your ticket?
 Please book flight ticket on name of Larry Taylor.	 Let me know your connection limit? 
 I prefer a connecting flight.	 Do you have any other requirements?
 No	 Sorry to inform you, currently no flights are running at that locations due to abnormal weather conditions.
 Ok, thank you for the information.	 Thank you for choosing us. 
 Hello	 Hello  How can I assist you?
 I would like to travel from PHL to JFK for a business trip.	 Can you help me with the dates?
 My departure date is 11/13 and my return date is 11/15.	 There is a flight with 1 connection and airline is Hawaiian.  May I know your name?
 I am Shirley Collins.	 Can I proceed Collins.
 Ok, proceed.	 Your flight is booked with number 1016.  Have a safe journey.
 Thank you.	 Welcome.
